name,brandName,ratingScore,description,price
"HP 14""\Core i3 11th Generation\8GB RAM\256GB SSD\Win 10",HP,4.8,"['Intel Core i3 1115G4, Up to 4.1GHz Intel Turbo Boost Technology, 6 MB L3', '14 inches FHD 1920 x 1080 Pixel, anti-glare, 250 nits brightness', '8GB DDR4 RAM 3200 Mhz', '256GB PCIe NVMe M.2 SSD', 'Intel UHD Graphics Integrated', '3 cell, 41 Wh Li-ion Battery', '1 SuperSpeed USB Type-C', '5Gbps signaling rate', '2 SuperSpeed USB Type-A', '5Gbps signaling rate', '1 HDMI 1.4b', '1 AC smart pin', '1 headphone microphone combo jack 3.5mm']",52249
"Acer Extensa 15 / Core i5 11th Gen / 16GB RAM / 512GB NVME SSD / 15.6"" FHD",Acer,0,"['Processor : Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)', 'Display :15.6&quot; Full HD 1920 x 1080, high-brightness Acer ComfyView LED-backlit TFT LCD', 'Memory: 16 GB DDR4 RAM', 'Storage: 512 GB NVME SSD', 'Graphics: Intel Iris Xe Graphics', 'Operating System: Windows 10', 'Battery Capacity: 36.7 Wh 2-cell Li-ion batteryAdapter45 W AC power adapter', 'Audio2 x Stereo Speaker', 'Bluetooth, Wifi, Cardreader', 'Powerful ProductivityFor better performance, the Extensa 15 employs up to Intel&reg; Core&trade; i5 Processors, has 8 GB of memory, and delivers enough power to see you through your workday2. Work, play, or relax; do it all with powerful productivity.Color-rich DisplayThe Full HD display keeps images and videos stunning while the narrow border offers-up more viewable space. To protect user&rsquo;s eyes from harmful blue light, it also includes Acer BlueLightShield&trade;.High-speed StorageWith a combination of 512GB M.2 PCIe SSD1 and extra HDD Slot for HDD Upgrade &ndash; users have a plenty of storage for all of their media, work files, and more.Impeccable SecurityAchieve enterprise-level security and manageability with firmware based TPM and Kensington lock to provide physical protection to your data.Impeccable SecurityAchieve enterprise-level security and manageability with firmware based TPM and Kensington lock to provide physical protection to your data.Stay ConnectedUsers get easy updates to the latest information with a full range of connectivity options. Wi-Fi 5 (802.11ac) provides fast internet access. For enhanced video calls, this laptop also includes and optimized camera and microphones.']",74999.00
Asus 15 Laptop Intel Celeron Processor 4 GB RAM 256 GB SSD15.6 inch Display,ASUS,0,[],33250
Dell Inspiron 15 3511 | i5 1135G7 | 4GB | 1TB | NVIDIA MX 350 2GB GDDR5 | FHD,Dell,0,[],92900.00
"Lenovo IP3 Ryzen 7 5700U/8GB RAM/256GB SSD/14"" FHD",Lenovo,0,"['Processor: AMD Ryzen 7 5700U | Speed: 2.1 GHz (Base) - 4.3GHz 8 Cores | 8MB Cache', 'Memory and Storage: 8GB RAM DDR4', '256 GB SSD', 'Display: 14"" FHD (1920x1080) ', 'Design: 4 side narrow bezel | 1.99 cm Thin and 1.41 kg Light ', 'Battery Life: 3-Cell 45Wh | Upto 6 Hours | Rapid Charge (Up to 80% in 1 Hour)', 'Camera (Built-in): 720p with Privacy Shutter | Fixed Focus | Integrated Dual Array Microphone', 'Audio: 2 x 1.5W Stereo Speakers | HD Audio | Dolby Audio', 'Lenovo Smart Features : Lenovo Aware | Whisper Voice | Eye Care', 'Ports: 2 USB 3.2 Gen1, 1 USB 2.0, Headphone/Mic combo jack, HDMI 1.4b, 4-in-1 media reader (MMC, SD, SDHC, SDXC)', 'In the box: Laptop, Power Adapter and User Manual']",82990.00
HP Laptop 15s  Ryzen 5/8GB/512 SSD 15.6 inch,HP,0,"['BrandHPSeriesHP Laptop 15s', 'Screen Size15.6 Inches', 'ColourNatural Silver', 'Hard Disk Size512 GBCPU ', 'ModelAMD ', 'Ryzen 5 RAM ', 'Memory Installed Size8 GB', 'Operating SystemWindows 10S', 'pecial FeatureMicro- Edge, FHDGraphics Card DescriptionIntegrated']",80000.00
"HP Victus 15 / 12th Gen Intel core i5 / 8GB RAM / 512GB SSD / 15.6"" FHD IPS 144Hz / Windows 11 / Backlit - Mica Silver",HP,5,"['12th Generation Intel&reg; Core&trade; i5-12450H processor', 'Windows 11 Home', '8 GB DDR4-3200 MHz RAM (1 x 8 GB)', '512 GB PCIe&reg; NVMe&trade; TLC M.2 SSD', 'NVIDIA&reg; GeForce&reg; GTX 1650 Laptop GPU (4 GB GDDR6 dedicated)', '39.6 cm (15.6) diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC', 'Weight approx. 2.29 kg']",99499.00
ACER Aspire 5 11 Gen I5 Processor / 8 GB RAM / 256 GB SSD NVMe / 14 inch FHD Display - OTE,Acer,4.7,"['Processor: 11th Gen Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)', 'Graphics: Intel&reg; Iris Xe', 'Display: 14 Inch LCD ComfyView In-plane Switching (IPS) Technology Full HD LED (1920 x 1080 pixels) resolution; 16:9 aspect ratio, Anti-glare display, LED Backlit, 250nits brightness, NTSC: 45%', 'Memory: 8GB DDR4 3200Mhz; Expandable up to 32GB', 'Storage: 256GB NVMe SSD; Dedicated HDD slot for storage expansion', 'Keyboard &amp; Touchpad: Standard Keyboard, 1.4mm Key-travel, Touchpad', 'Camera: 720p', 'Audio: SonicMasterBuilt-in speaker', 'Network and Communication: Wi-Fi 6 AX201, Bluetooth 5.0', 'Weight: 1.60 kg', 'Dimensions (W x D x H): 32.8 x 22.30 x 1.79 ~ 1.8 cm (12.9&quot; x 8.8&quot; x 0.78&quot; ~ 0.78&quot;)32.8 x 22.30 x 1.79 cm (12.9&quot; x 8.8&quot; x 0.71&quot;)', 'Operating System: Windows 10', 'Color: Safari Gold']",71250
"Asus VivoBook 14  E410M 11th Gen Intel Celeron -N4020 Processor, 4GB DDR4 RAM, 128GB SSD Storage, 14-inch HD display with Windows 11 Genuine Star Black Color",ASUS,4,"['Asus VivoBook 14 E410M ', 'Intel Celeron N4020U Processor', '4GB DDR4 RAM', '128GB SSD Storage Upgradeable SSD Nvme M.2 Slot Avaliable', 'Intel UHD Graphics', '14-inch HD Display with HD resolution, SlimBezel', '1.3KG Weight', 'Brand New Laptop', 'Star Black Color', 'Windows 11 Home Genuine']",33900.00
Acer Nitro 5 Amd Ryzen 5-5600H 16GB Ram 512GB SSD 4GB Gtx 1650 Graphics 15.6 Inch 144Hz Win11,Acer,0,[],118000.00
